months,rev_Mean,mou_Mean,totcalls,eqpdays,rev_per_minute,calls_per_month,eqp_age_index,custcare_Mean,drop_vce_Mean,blck_vce_Mean,avgmou,avgrev,prob_churn,churn_pred
12,43.565,912.5,2035,232.0,0.04769020251778872,156.53846153846155,17.846153846153847,0.0,6.666666667,4.666666667,927.7,52.06,0.6123496,1
10,47.4925,377.25,786,307.0,0.1255584930601454,71.45454545454545,27.90909090909091,0.0,10.33333333,2.0,321.75,40.07,0.5979003,1
7,75.215,782.25,1378,210.0,0.09602936482604532,172.25,26.25,3.0,16.0,0.0,611.67,81.14,0.28562412,0
23,118.7425,1448.5,17435,449.0,0.08191962745774406,726.4583333333334,18.708333333333332,0.666666667,12.33333333,0.0,1445.45,123.51,0.4798416,1
9,14.045,575.25,1485,18.0,0.024373101952277657,148.5,1.8,0.0,3.333333333,15.0,668.5,21.65,0.33121705,0
16,151.675,97.0,922,487.0,1.5477040816326533,54.23529411764706,28.647058823529413,0.0,8.0,1.0,131.53,96.39,0.57516956,1
20,53.3725,604.5,3682,605.0,0.08814616019818332,175.33333333333334,28.80952380952381,0.0,23.33333333,12.33333333,561.95,59.9,0.6381641,1
11,64.4825,472.75,1386,240.0,0.1361108179419525,115.5,20.0,0.0,3.333333333,24.33333333,415.8,41.11,0.6683188,1
46,24.99,33.0,1069,1397.0,0.735,22.74468085106383,29.72340425531915,0.0,3.333333333,0.0,67.27,21.84,0.78179944,1
6,40.49,322.0,585,181.0,0.1253560371517028,83.57142857142857,25.857142857142858,0.0,1.666666667,20.0,397.0,45.46,0.39057907,1
12,34.99,257.5,650,341.0,0.135357833655706,50.0,26.23076923076923,0.0,0.0,0.0,300.4,35.31,0.5696752,1
12,59.99,72.5,214,349.0,0.8161904761904762,16.46153846153846,26.846153846153847,0.0,0.0,0.0,142.09,60.58,0.6048999,1
19,40.91,232.75,1742,576.0,0.17501604278074864,87.1,28.8,0.0,6.0,0.0,217.78,47.17,0.58441484,1
14,39.0975,507.75,3134,102.0,0.07685012285012284,208.93333333333334,6.8,0.0,8.666666667,1.333333333,529.62,40.07,0.48053333,1
34,81.2975,1011.0,10014,278.0,0.08033349802371541,286.1142857142857,7.942857142857143,0.333333333,10.0,0.666666667,504.78,70.1,0.37474382,1
12,56.7425,391.75,2341,366.0,0.14447485677912159,180.07692307692307,28.153846153846153,0.0,7.666666667,2.0,638.55,60.59,0.6752932,1
31,30.6675,45.5,1176,936.0,0.6595161290322581,36.75,29.25,0.0,0.333333333,0.0,67.43,31.48,0.6334931,1
42,50.495,219.25,3283,669.0,0.2292622020431328,76.34883720930233,15.55813953488372,0.333333333,5.333333333,7.0,192.54,44.83,0.58199,1
18,40.48,470.25,3322,538.0,0.08589920424403183,174.8421052631579,28.31578947368421,2.666666667,7.0,0.333333333,424.25,52.52,0.46860126,1
18,34.64,322.25,1844,545.0,0.1071616395978345,97.05263157894737,28.68421052631579,2.333333333,5.333333333,0.333333333,229.12,38.25,0.5083039,1
25,20.79,107.0,1928,439.0,0.1925,74.15384615384616,16.884615384615383,0.333333333,3.0,0.666666667,290.88,37.1,0.6368305,1
11,50.0875,207.5,972,313.0,0.24022781774580335,81.0,26.083333333333332,0.666666667,1.666666667,0.333333333,231.1,49.79,0.65586877,1
32,44.0525,339.5,3329,187.0,0.12937591776798826,100.87878787878788,5.666666666666667,0.666666667,0.333333333,3.0,321.84,52.18,0.31031758,0
38,169.62,1206.75,10377,465.0,0.14044297246946802,266.0769230769231,11.923076923076923,0.666666667,1.333333333,2.333333333,747.86,95.9,0.5295908,1
